"Species","variable","value.Barbilla","value.Cola","value.Corona","value.Esp_Inf","value.Esp_Med","value.Esp_Sup","value.Frente","value.Garganta","value.Hombro","value.Nuca","value.Panza","value.Parche_Malar","value.Pecho","value.Peso","Peso_log2"
"Manacus manacus","NIR",13.7386064030132,17.5919020715631,11.1647080979284,14.3695668549906,10.1173069679849,14.9988700564972,11.9567231638418,32.0290018832392,7.87668549905838,10.1321280602637,34.5235404896422,13.3452919020716,24.020527306968,17,4.08746284125034
"Megarynchus pitangua","UV",5.26029761904762,2.29732142857143,0.037031130952381,3.24701785714286,5.83464285714286,4.46702380952381,1.3083869047619,5.52553571428571,0.613918452380952,2.60244047619048,8.70744047619048,0.256096607142857,10.541130952381,62,5.95419631038687
"Megarynchus pitangua","VIS",12.84146484375,4.43158203125,0.242211046875,5.2309765625,8.9615234375,8.09216796875,3.48505859375,12.7591015625,1.63712890625,3.34314453125,17.5793359375,0.862020625,22.68109375,62,5.95419631038687
"Megarynchus pitangua","NIR",15.428813559322,12.9826365348399,3.02621468926554,10.4303013182674,17.1726930320151,18.4404896421846,7.6310922787194,16.7969868173258,7.62770244821092,5.77267419962335,24.5796610169492,4.14369114877589,32.024670433145,62,5.95419631038687
"Melanerpes rubricapillus","UV",5.82559523809524,6.41934523809524,7.65,1.88957142857143,9.97720238095238,3.67440476190476,4.122125,6.36869047619048,2.17139880952381,3.64077380952381,6.07339285714286,2.47786904761905,1.34216666666667,43,5.4262647547021
"Melanerpes rubricapillus","VIS",11.09365234375,13.38841796875,7.822578125,3.49591796875,11.62109375,5.0905859375,11.06998046875,13.2262109375,3.29744140625,5.47609375,11.85734375,7.86720703125,5.109375,43,5.4262647547021
"Melanerpes rubricapillus","NIR",16.6804143126177,18.4768361581921,10.6807532956686,12.8308286252354,16.2263653483992,9.52308851224105,15.8037664783427,18.3305084745763,7.67798493408663,9.87956685499058,20.0461393596987,13.9193973634652,13.1900753295669,43,5.4262647547021
"Mionectes oleagineus","UV",2.98190476190476,2.75095238095238,1.7815,1.13580952380952,1.725125,2.26815476190476,0.561789880952381,0.64117619047619,4.55226190476191,1.17469642857143,7.46166666666667,1.04551011904762,5.21922619047619,20,4.32192809488736
"Mionectes oleagineus","VIS",4.4155078125,5.525078125,2.0002734375,2.061900390625,2.0665234375,2.98921875,0.9590890625,2.927953125,6.21859375,1.201060546875,18.57052734375,2.6819296875,9.60296875,20,4.32192809488736
"Mionectes oleagineus","NIR",6.41305084745763,12.7627495291902,3.67870056497175,5.18305084745763,3.89907721280603,5.14429378531073,2.75175329566855,8.12672316384181,10.6419962335217,1.79463276836158,32.4962335216573,7.02706214689266,15.5303201506591,20,4.32192809488736
